seed,val_acc,val_f1
0,0.8091511137868754,0.8405318002155947
1,0.8167197041369226,0.84322813212683
2,0.8146555431323643,0.8438971387178559
3,0.8137094693386084,0.8422892092616864
4,0.8160316504687366,0.8436517798406549
mean,0.8140534961727013,0.8427196120325243
std,0.0026659305087894307,0.001223590265974468
