seed,val_acc,val_f1
0,0.7921865715983363,0.8085921466684909
1,0.7939691027926322,0.8119831909990511
2,0.789809863339275,0.8066147328139948
3,0.7939691027926322,0.819236283070507
4,0.7883244206773619,0.8024948024948025
mean,0.7916518122400475,0.8097842312093693
std,0.0022578728461081516,0.005635233183425646
