seed,epoch,train_loss,train_acc,val_acc,val_f1,lr
3,1,0.6154845342683448,0.6820080546970123,0.6818181818181818,0.6685236768802229,0.0018169383704130563
3,2,0.5559029572206768,0.7091317785894914,0.7023172905525846,0.7177464788732394,0.0018169383704130563
3,3,0.5421274427518178,0.7245106303268708,0.7193998811645871,0.7308733437811654,0.0018169383704130563
3,4,0.5283159324412066,0.7106865224313946,0.7095959595959596,0.7538093439113461,0.0018169383704130563
3,5,0.5200714359197923,0.7397208953825981,0.726232917409388,0.7497623896809232,0.0018169383704130563
3,6,0.5125416562224948,0.7263276201180107,0.7250445632798574,0.7549318151727791,0.0018169383704130563
3,7,0.4993334392271116,0.7465205582092348,0.7341057635175282,0.7360660572102624,0.0018169383704130563
3,8,0.4925414651769081,0.7209515781586588,0.7092988710635769,0.7108878711774265,0.0018169383704130563
3,9,0.48606604784517754,0.7653648028472417,0.7546048722519311,0.7740082079343366,0.0018169383704130563
3,10,0.4778841743835899,0.7679123349255409,0.7510398098633393,0.7584318247333526,0.0018169383704130563
3,11,0.4723923718649048,0.7621241921888171,0.7465834818775995,0.7438438438438438,0.0018169383704130563
3,12,0.46684296064925257,0.7790952514751335,0.7647058823529411,0.7849579147434157,0.0018169383704130563
3,13,0.4575341687428434,0.7780649995317037,0.7611408199643493,0.7706788362806617,0.0018169383704130563
3,14,0.45428508965332903,0.7763042053011145,0.7595068330362448,0.7858182299245932,0.0018169383704130563
3,15,0.44620376232412406,0.7744684836564578,0.755941770647653,0.7735979054705802,0.0018169383704130563
3,16,0.4435417184132901,0.791270956261122,0.7810457516339869,0.8039893617021276,0.0018169383704130563
3,17,0.4380185492835688,0.7898098716868034,0.7739156268568034,0.7875488553880514,0.0018169383704130563
3,18,0.4347350847679789,0.7921888170834505,0.7743612596553773,0.8014638609332113,0.0018169383704130563
3,19,0.43169219755016597,0.7864381380537604,0.7593582887700535,0.7715736040609137,0.0018169383704130563
3,20,0.4286069019195615,0.800187318535169,0.7807486631016043,0.7986357435197817,0.0009084691852065281
3,21,0.40653972860756826,0.8063126346351972,0.7822341057635175,0.7987922042272853,0.0009084691852065281
3,22,0.4028203896975109,0.8150791420811089,0.7895127748068924,0.8095174082537976,0.0009084691852065281
3,23,0.3986769927511548,0.8102837875807811,0.7804515745692217,0.7953475491553587,0.0009084691852065281
3,24,0.39495320233851433,0.81803877493678,0.7889185977421271,0.8038647342995169,0.0009084691852065281
3,25,0.39266790678475005,0.8171583778214855,0.7875816993464052,0.8105458399576047,0.0009084691852065281
3,26,0.39080832982159314,0.8101152008991289,0.779708853238265,0.7923841523169537,0.00045423459260326407
3,27,0.3786898182596709,0.8272735787206144,0.7938205585264408,0.8090784044016506,0.00045423459260326407
3,28,0.3752856353600507,0.8302332115762855,0.7914438502673797,0.8072487644151565,0.00045423459260326407
3,29,0.3716609834558432,0.829933501920015,0.7960487225193108,0.815927067971578,0.00045423459260326407
3,30,0.3684057844782675,0.8338859230120821,0.7967914438502673,0.8136747480250613,0.00045423459260326407
3,31,0.36832015870539025,0.8326870843870001,0.7932263814616756,0.8114842903575298,0.00045423459260326407
3,32,0.36658106889295544,0.8357591083637725,0.7972370766488414,0.8157148643175375,0.00045423459260326407
