number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
31,0.808259332701095,2026-03-04 11:00:02.229514,2026-03-04 11:07:06.009931,0 days 00:07:03.780417,64,0.0012262480818719362,512,0.0027996356702997354,2,2.6594194160675473e-05,COMPLETE
32,0.8112768342098456,2026-03-04 11:07:06.010978,2026-03-04 11:14:09.815543,0 days 00:07:03.804565,64,0.022255152004117408,512,0.0018290892048818256,2,1.91634070672461e-05,COMPLETE
33,0.8126562634709888,2026-03-04 11:14:09.816443,2026-03-04 11:21:11.514959,0 days 00:07:01.698516,64,0.04149983667183374,512,0.0017109217008345599,2,4.006696698263591e-05,COMPLETE
34,0.7555823777911889,2026-03-04 11:21:11.515844,2026-03-04 11:22:54.149000,0 days 00:01:42.633156,64,0.07812905743039011,512,0.005027660090280663,3,7.055691184133964e-05,PRUNED
35,0.7554961634623675,2026-03-04 11:22:54.150033,2026-03-04 11:24:18.376801,0 days 00:01:24.226768,64,0.14478030653770443,512,0.0016646699598163034,2,3.9703908604813996e-05,PRUNED
36,0.7647210966462626,2026-03-04 11:24:18.377616,2026-03-04 11:26:05.224480,0 days 00:01:46.846864,64,0.09349197050638802,64,0.0008728518744324655,2,6.3371716058472425e-06,PRUNED
37,0.7332528666264333,2026-03-04 11:26:05.225374,2026-03-04 11:27:29.550846,0 days 00:01:24.325472,64,0.27304035887056455,512,0.0005220979430298225,2,1.2304381619212347e-06,PRUNED
38,0.7379084403827916,2026-03-04 11:27:29.551811,2026-03-04 11:28:57.217485,0 days 00:01:27.665674,64,0.19442967325388827,64,0.0011296762371708227,3,0.00019408555093633947,PRUNED
39,0.7517027329942236,2026-03-04 11:28:57.218361,2026-03-04 11:30:39.543552,0 days 00:01:42.325191,64,0.04056880828170162,512,0.00017940133859214983,3,1.4961679369992103e-05,PRUNED
40,0.6965255625484955,2026-03-04 11:30:39.544498,2026-03-04 11:31:31.873854,0 days 00:00:52.329356,128,0.3885780175613255,128,0.00010358303954287414,2,0.0009606652175426651,PRUNED
41,0.8125700491421675,2026-03-04 11:31:31.874890,2026-03-04 11:38:35.918592,0 days 00:07:04.043702,64,0.03176375301098831,512,0.002146254876114749,2,2.1086817470473106e-05,COMPLETE
42,0.7514440900077592,2026-03-04 11:38:35.919506,2026-03-04 11:40:25.664186,0 days 00:01:49.744680,64,0.04631718298321851,512,0.0021127832819871225,2,2.984824722671782e-05,PRUNED
43,0.7570480213811536,2026-03-04 11:40:25.665170,2026-03-04 11:42:15.704388,0 days 00:01:50.039218,64,0.07547917176244603,512,0.0030295822854759275,2,0.00011853033898607221,PRUNED
44,0.745064229674972,2026-03-04 11:42:15.705404,2026-03-04 11:43:40.458719,0 days 00:01:24.753315,64,0.027118547703833793,512,0.0015436739380033124,2,1.981421506198801e-05,PRUNED
45,0.7485990171566514,2026-03-04 11:43:40.459665,2026-03-04 11:44:56.418068,0 days 00:01:15.958403,64,0.12732687299325746,64,0.004482869766172386,2,5.169029902158592e-05,PRUNED
46,0.7464436589361152,2026-03-04 11:44:56.419000,2026-03-04 11:46:21.230027,0 days 00:01:24.811027,256,0.09287600439570866,512,0.002373755342040648,4,7.703355756397502e-05,PRUNED
47,0.7538580912147599,2026-03-04 11:46:21.230901,2026-03-04 11:47:51.082538,0 days 00:01:29.851637,64,0.05484795408861131,256,0.00700447626505518,3,6.4074747490086396e-06,PRUNED
48,0.7585998792999397,2026-03-04 11:47:51.083812,2026-03-04 11:49:42.162032,0 days 00:01:51.078220,64,0.023464325905080075,512,0.0035785160915282536,2,2.3691520531121875e-05,PRUNED
49,0.6748857660143116,2026-03-04 11:49:42.162936,2026-03-04 11:50:40.683101,0 days 00:00:58.520165,128,0.14606652935976955,128,0.00995351748095186,3,0.0001645084766942426,PRUNED
50,0.7504957323907233,2026-03-04 11:50:40.684046,2026-03-04 11:52:05.325092,0 days 00:01:24.641046,64,0.001314489666666592,512,0.0020863263746464613,2,4.2219317663694953e-05,PRUNED
51,0.8154151219932753,2026-03-04 11:52:05.325913,2026-03-04 11:59:08.308130,0 days 00:07:02.982217,64,0.02624699088866785,512,0.0019075901208141766,2,1.882320926271326e-05,COMPLETE
52,0.7461850159496508,2026-03-04 11:59:08.308997,2026-03-04 12:00:32.860810,0 days 00:01:24.551813,64,0.040946439290452157,512,0.0011610658661170168,2,1.4476113375734185e-05,PRUNED
53,0.7426502284679714,2026-03-04 12:00:32.861742,2026-03-04 12:01:57.231646,0 days 00:01:24.369904,64,0.02235651000010762,512,0.0013090155951478702,2,8.733208003668312e-06,PRUNED
54,0.7540305198724028,2026-03-04 12:01:57.232625,2026-03-04 12:03:21.624742,0 days 00:01:24.392117,64,0.06707137459891885,512,0.0009540295225868321,2,2.1224049650560822e-05,PRUNED
55,0.7404086559186137,2026-03-04 12:03:21.625719,2026-03-04 12:04:17.491474,0 days 00:00:55.865755,256,0.1112184437337644,512,0.0026993261251499192,2,5.815349815357337e-05,PRUNED
56,0.7548926631606173,2026-03-04 12:04:17.492393,2026-03-04 12:05:41.755868,0 days 00:01:24.263475,64,0.44839691784668745,512,0.0019301845379490364,2,3.0508697762589695e-05,PRUNED
57,0.5557375635830675,2026-03-04 12:05:41.756888,2026-03-04 12:07:44.564612,0 days 00:02:02.807724,64,0.019577386117438415,256,0.003763396614202473,6,1.1554552849907631e-05,PRUNED
58,0.7466160875937581,2026-03-04 12:07:44.565576,2026-03-04 12:09:26.770082,0 days 00:01:42.204506,64,0.0860874685200873,512,0.0007648210026605906,3,1.900307737821126e-05,PRUNED
59,0.7435123717561859,2026-03-04 12:09:26.771102,2026-03-04 12:10:18.512996,0 days 00:00:51.741894,128,0.03759874293181212,64,0.0016331703499478912,2,9.50124986855158e-05,PRUNED
60,0.7556685921200104,2026-03-04 12:10:18.513952,2026-03-04 12:12:00.821033,0 days 00:01:42.307081,64,0.33191617678386276,512,0.0022170031708225175,3,3.5942740483244975e-05,PRUNED
61,0.7583412363134753,2026-03-04 12:12:00.821980,2026-03-04 12:13:58.766942,0 days 00:01:57.944962,64,0.012569095186866129,512,0.0018655908127713228,2,1.824670288469329e-05,PRUNED
62,0.7460125872920079,2026-03-04 12:13:58.767813,2026-03-04 12:15:56.935967,0 days 00:01:58.168154,64,0.05682985986618547,512,0.0012760863521765228,2,2.7599145249315916e-05,PRUNED
63,0.7632554530562979,2026-03-04 12:15:56.936849,2026-03-04 12:18:12.115306,0 days 00:02:15.178457,64,0.033224929213699614,512,0.005372245614714293,2,1.0202390854980945e-05,PRUNED
64,0.8044659022329511,2026-03-04 12:18:12.116237,2026-03-04 12:24:08.072695,0 days 00:05:55.956458,64,0.012910506459136847,512,0.0029349045506761326,2,4.6769154437185214e-05,PRUNED
65,0.7747219587895509,2026-03-04 12:24:08.073590,2026-03-04 12:27:13.675070,0 days 00:03:05.601480,64,0.10641758361630985,512,0.0017414716415180514,2,1.4184755753788176e-05,PRUNED
66,0.7363565824640055,2026-03-04 12:27:13.676165,2026-03-04 12:28:02.988026,0 days 00:00:49.311861,256,0.06852575985841794,128,0.002581004191193197,5,1.7547478954733038e-05,PRUNED
67,0.7417880851797569,2026-03-04 12:28:02.988987,2026-03-04 12:30:01.514309,0 days 00:01:58.525322,64,0.23519485452595437,512,0.0044186552153806825,2,2.3706444922351264e-05,PRUNED
68,0.8128286921286317,2026-03-04 12:30:01.515178,2026-03-04 12:37:03.111978,0 days 00:07:01.596800,64,0.00022326348721037406,512,0.0013828515556037803,2,1.954926470158138e-06,COMPLETE
69,0.7517027329942236,2026-03-04 12:37:03.112948,2026-03-04 12:38:27.526576,0 days 00:01:24.413628,64,0.00174686997617433,512,0.0006068884566550141,2,1.7839938340783737e-06,PRUNED
70,0.7228209328390378,2026-03-04 12:38:27.527428,2026-03-04 12:39:56.099262,0 days 00:01:28.571834,64,0.052113353343591406,256,0.003342486550898041,3,3.064021177577001e-06,PRUNED
71,0.7568755927235107,2026-03-04 12:39:56.100194,2026-03-04 12:41:20.624093,0 days 00:01:24.523899,64,0.03325800572482037,512,0.001495377183747245,2,6.690657201676507e-06,PRUNED
72,0.7735149581860505,2026-03-04 12:41:20.625032,2026-03-04 12:44:00.760821,0 days 00:02:40.135789,64,0.016341215698446942,512,0.001381274899029984,2,1.8198655525281557e-06,PRUNED
73,0.7747219587895509,2026-03-04 12:44:00.761796,2026-03-04 12:46:41.288849,0 days 00:02:40.527053,64,0.043877732370300855,512,0.0009888473992816086,2,3.313047437485513e-05,PRUNED
74,0.8146391930338822,2026-03-04 12:46:41.289726,2026-03-04 12:53:43.796136,0 days 00:07:02.506410,64,0.07047647596549404,512,0.002345122105564707,2,5.233155682561313e-06,COMPLETE
75,0.7737736011725149,2026-03-04 12:53:43.797013,2026-03-04 12:56:23.592084,0 days 00:02:39.795071,64,0.07134552463206555,512,0.002341024225920842,2,4.934457597429069e-06,PRUNED
76,0.7470471592378654,2026-03-04 12:56:23.593171,2026-03-04 12:57:28.306983,0 days 00:01:04.713812,128,0.1494511651620089,512,0.002012212432954239,2,1.0480299941499082e-06,PRUNED
