seed,val_acc,val_f1
0,0.7801604190538549,0.8015955089378047
1,0.7680471435586839,0.7855304979567126
2,0.7672286789981994,0.786742651469706
3,0.7682108364707808,0.7910888167601062
4,0.773121623833688,0.7911392405063291
mean,0.7713537403830414,0.7912193431261316
std,0.004868481490060345,0.005658480327112464
