epoch,train_loss,train_acc,train_f1,val_acc,val_f1,learning_rate
1,0.6431486600120635,0.6769299906036795,0.7126871094317686,0.6757808219178082,0.709566583222893,0.0008007016085176578
2,0.57815028422408,0.70733866245421,0.740781839892892,0.703013698630137,0.736765420106848,0.0008007016085176578
3,0.5552768545489848,0.7267032533057345,0.7724680566420643,0.7246575342465753,0.770830482966206,0.0008007016085176578
4,0.5379807176437109,0.7301349529503084,0.7644058729120846,0.7282739726027397,0.7618956162673453,0.0008007016085176578
5,0.5271859437248759,0.7399942805005923,0.7885626958726925,0.7369315068493151,0.7866506687997156,0.0008007016085176578
6,0.5160190118634647,0.7504527937031035,0.7924147852781586,0.7504657534246575,0.7925284738041002,0.0008007016085176578
7,0.5063463175079089,0.7531355112823934,0.7923244357887501,0.7504657534246575,0.7888734353268428,0.0008007016085176578
8,0.49840029919574275,0.756335707379516,0.798979901360506,0.7521643835616438,0.7952374485037802,0.0008007016085176578
9,0.49252840356734057,0.7643974779731183,0.8014870400330454,0.7621369863013698,0.7990184730774573,0.0008007016085176578
10,0.4874263404996295,0.7638391458880884,0.7913217173661917,0.7595616438356164,0.7873206669251648,0.0008007016085176578
11,0.4817425201435704,0.7642204458485967,0.7986556889012931,0.763013698630137,0.7973194620179015,0.0008007016085176578
12,0.47540814232758377,0.7722958342979315,0.8025692796334998,0.7648219178082192,0.7948963012520309,0.0008007016085176578
13,0.4713386348561125,0.770035270246347,0.805992440517905,0.7677808219178082,0.8040503051599778,0.0008007016085176578
14,0.4662111545632445,0.7725545735568478,0.7961380724538619,0.762958904109589,0.7873992529978376,0.0008007016085176578
15,0.46249054785074,0.7818147154549044,0.8117716165413534,0.7715068493150685,0.8026502602934217,0.0008007016085176578
16,0.4563333377427356,0.7775523266106519,0.8021462918327055,0.7680547945205479,0.792550845381034,0.0008007016085176578
17,0.45181069569920307,0.7920689608214291,0.8202229993053348,0.7803835616438356,0.8099753461027878,0.0008007016085176578
18,0.4498410099062411,0.7912518894774829,0.8286477604265641,0.7812054794520548,0.82022421322768,0.0008007016085176578
19,0.4454988469352905,0.7927770893195157,0.8215496112485781,0.777972602739726,0.8082528866174522,0.0008007016085176578
20,0.4408301162243753,0.7997630493102557,0.8237691164485355,0.7872328767123288,0.8129486006069656,0.0008007016085176578
21,0.43785981692964965,0.7937984284994485,0.8216321914903643,0.7807123287671233,0.8102598141475441,0.0008007016085176578
22,0.4338558559420452,0.8030177168303079,0.8342101342135726,0.7886027397260273,0.8219165435745938,0.0008007016085176578
23,0.4305368542351399,0.8057140522653303,0.8381637306169675,0.7890410958904109,0.8244574138245486,0.0008007016085176578
24,0.42688790688559125,0.810384976781556,0.8408867557993372,0.7917260273972603,0.8260969025941346,0.0008007016085176578
25,0.4227101740553266,0.8101262375226397,0.8354594696656793,0.791013698630137,0.8190015186028854,0.0008007016085176578
26,0.4208093773445644,0.8174526439066905,0.8443179838569189,0.7943013698630137,0.8240862230552952,0.0008007016085176578
27,0.41572579961729356,0.812414037285689,0.8448604025182732,0.7946849315068493,0.83035269615611,0.0008007016085176578
