seed,epoch,train_loss,train_acc,val_acc,val_f1,lr
1,1,0.5966942211582055,0.8047430156721503,0.7994652406417112,0.8171227309672175,0.0002499382446390802
1,2,0.39776675729919614,0.8362820013627956,0.8351158645276292,0.8316140776699029,0.0002499382446390802
1,3,0.3022532044396502,0.8913413803173367,0.8851752822341058,0.8916000560931145,0.0002499382446390802
1,4,0.25067539750850854,0.9055655602063662,0.8948306595365418,0.9047106325706595,0.0002499382446390802
1,5,0.2158420608151125,0.9167842889126837,0.9131016042780749,0.9149338374291115,0.0002499382446390802
1,6,0.19449698080708624,0.9282098705344106,0.9162210338680927,0.9216884198833657,0.0002499382446390802
1,7,0.17835995096125482,0.9315803562737273,0.9180035650623886,0.9250814332247557,0.0002499382446390802
1,8,0.16457430681687513,0.9496982380998734,0.9390968508615567,0.9421067495057893,0.0002499382446390802
1,9,0.15036014516142643,0.9517667672539667,0.9417706476530006,0.9450826562062202,0.0002499382446390802
1,10,0.13700895440923103,0.9489803368052175,0.9398395721925134,0.9438046343832385,0.0002499382446390802
1,11,0.1244556710242233,0.9572301177844836,0.9487522281639929,0.9509873561585452,0.0002499382446390802
1,12,0.11873579104466783,0.9606249391609072,0.9506833036244801,0.9528409090909091,0.0002499382446390802
1,13,0.10996429293486155,0.9660517862357636,0.9494949494949495,0.9524076147816349,0.0002499382446390802
1,14,0.10360222768988962,0.9725250657062202,0.9622697563874034,0.9637142857142857,0.0002499382446390802
1,15,0.0952866181512196,0.9717098218631364,0.958407605466429,0.9605744860602647,0.0002499382446390802
1,16,0.08858068396523994,0.9694831110678478,0.9549910873440285,0.9580506714661498,0.0002499382446390802
1,17,0.0846106314999555,0.9753479996106298,0.9592988710635769,0.9614410357444413,0.0002499382446390802
1,18,0.07885095432083765,0.9736323371945877,0.963903743315508,0.965721540414727,0.0002499382446390802
1,19,0.07649382550055776,0.9771001654823324,0.9658348187759952,0.9672457989176872,0.0002499382446390802
1,20,0.07287151058273644,0.9732794704565365,0.9618241235888295,0.9633955277026065,0.0002499382446390802
1,21,0.07254961138007518,0.9815049157986956,0.9686571598336304,0.9701513651152921,0.0002499382446390802
1,22,0.06843239796836287,0.9801056166650443,0.9667260843731432,0.9681365576102419,0.0002499382446390802
1,23,0.06486538089075665,0.9801907913949187,0.9658348187759952,0.9677147669848399,0.0002499382446390802
1,24,0.06133701663820047,0.9815049157986956,0.9642008318478906,0.9659074833781298,0.0002499382446390802
1,25,0.05987253853924131,0.983427431130147,0.9722222222222222,0.973561430793157,0.0002499382446390802
1,26,0.05760775705180996,0.9813223985203933,0.9670231729055259,0.9688639551192146,0.0002499382446390802
1,27,0.0565834750274843,0.9878321814465103,0.9729649435531789,0.9741477272727272,0.0002499382446390802
1,28,0.053947418348120876,0.9870777766961939,0.972073677956031,0.9732270008544575,0.0002499382446390802
1,29,0.05193452025961051,0.9845590382556215,0.9688057040998217,0.9705717488789237,0.0002499382446390802
1,30,0.05378578515375405,0.9876374963496545,0.9723707664884136,0.9736095346197503,0.0002499382446390802
1,31,0.04911245331806402,0.9832570816703982,0.9682115270350564,0.9695330296127562,0.0001249691223195401
1,32,0.031300225301925735,0.9945731529251436,0.9765300059417706,0.9776330690826727,0.0001249691223195401
1,33,0.026748810563480163,0.9953762289496739,0.9777183600713012,0.9786446469248291,0.0001249691223195401
1,34,0.02498803829028669,0.9957412635062786,0.9769756387403447,0.9778729478943612,0.0001249691223195401
1,35,0.02249413619218087,0.9956925922320646,0.9775698158051099,0.9785419923262754,0.0001249691223195401
1,36,0.022909183745653854,0.9969823809987346,0.9769756387403447,0.9779673063255153,0.0001249691223195401
1,37,0.020005321539615935,0.9956195853207437,0.9751931075460487,0.9763154162530138,6.248456115977005e-05
1,38,0.01326939207264159,0.9985033583179208,0.9789067142008319,0.9798352740698665,6.248456115977005e-05
1,39,0.010052747395772187,0.9990144066971673,0.9808377896613191,0.9816891412349183,6.248456115977005e-05
1,40,0.009640841977920096,0.9990144066971673,0.9795008912655971,0.9804753820033956,6.248456115977005e-05
1,41,0.008168317126208559,0.9991117492455952,0.9778669043374926,0.9788502484031227,6.248456115977005e-05
1,42,0.008235906539109028,0.9995741263506278,0.9792038027332145,0.9801643525077925,6.248456115977005e-05
1,43,0.007217362215937786,0.9995619585320744,0.9812834224598931,0.9820563941896896,6.248456115977005e-05
1,44,0.008075614960700314,0.9997201401732697,0.9775698158051099,0.9785114558132916,6.248456115977005e-05
1,45,0.006709429339997783,0.9995984619877348,0.9799465240641712,0.9808047774776055,6.248456115977005e-05
1,46,0.007008818490117716,0.9998053149031442,0.9790552584670231,0.9800085070182901,6.248456115977005e-05
1,47,0.006713014848982869,0.9998053149031442,0.9802436125965538,0.9811427761236353,3.1242280579885026e-05
1,48,0.004384522363216287,0.999926993088679,0.9802436125965538,0.9811320754716981,3.1242280579885026e-05
1,49,0.0034876804093216347,0.999902657451572,0.9793523469994059,0.9803088256126931,3.1242280579885026e-05
1,50,0.0031319699004315705,0.9999391609072326,0.9789067142008319,0.9798980747451869,3.1242280579885026e-05
1,51,0.003163972681421946,1.0,0.9783125371360666,0.9792554703040637,1.5621140289942513e-05
1,52,0.0023150036848507897,1.0,0.9808377896613191,0.9816839415022007,1.5621140289942513e-05
1,53,0.0022721646487061306,0.9999878321814465,0.9812834224598931,0.9821428571428571,1.5621140289942513e-05
1,54,0.0017276524279604172,0.9999634965443396,0.9789067142008319,0.979920814479638,1.5621140289942513e-05
1,55,0.0017736179887116092,0.9999878321814465,0.9792038027332145,0.9802148106274732,7.810570144971257e-06
1,56,0.001419353264064497,0.9999878321814465,0.9808377896613191,0.9817047227343639,7.810570144971257e-06
1,57,0.0014070686264429405,1.0,0.9802436125965538,0.9811427761236353,7.810570144971257e-06
1,58,0.0012024271927513009,1.0,0.9802436125965538,0.9811320754716981,7.810570144971257e-06
