seed,val_acc,val_f1
0,0.9571124570306105,0.9602065613608749
1,0.9620232443935177,0.9648484848484848
2,0.9576035357669013,0.9608702220879287
3,0.9620232443935177,0.9649228908376172
4,0.9554755279096415,0.9588502269288957
mean,0.9588476018988377,0.9619396772127603
std,0.0026869581965864226,0.00249210165401564
